Date,Description,Debit,Credit,Balance
2024-05-01,Starbucks Coffee,5.50,,1194.50
2024-05-01,Payroll Deposit,,2500.00,3694.50
2024-05-02,Rent Payment,1200.00,,2494.50
2024-05-02,Amazon.com Purchase,89.99,,2404.51
2024-05-03,Uber Ride,23.45,,2381.06
2024-05-03,McDonald's,12.75,,2368.31
2024-05-04,Netflix Subscription,15.99,,2352.32
2024-05-04,Gas Station,45.00,,2307.32
2024-05-05,Target Shopping,156.78,,2150.54
2024-05-05,Spotify Premium,9.99,,2140.55
2024-05-06,Restaurant Dinner,67.50,,2073.05
2024-05-06,Internet Bill,79.99,,1993.06
2024-05-07,Pharmacy Purchase,23.45,,1969.61
2024-05-07,Gym Membership,45.00,,1924.61
2024-05-08,Subway Lunch,8.99,,1915.62
2024-05-08,Home Depot,234.56,,1681.06
2024-05-09,Doctor Visit,50.00,,1631.06
2024-05-09,Chipotle,14.50,,1616.56
2024-05-10,Phone Bill,85.00,,1531.56
2024-05-10,Walmart Groceries,89.45,,1442.11
2024-05-11,Insurance Premium,120.00,,1322.11
2024-05-11,Pizza Delivery,28.99,,1293.12
2024-05-12,Car Payment,350.00,,943.12
2024-05-12,Coffee Shop,4.50,,938.62
2024-05-13,Utility Bill,95.00,,843.62
2024-05-13,Best Buy Electronics,299.99,,543.63
2024-05-14,Restaurant Lunch,22.75,,520.88
2024-05-14,Investment Deposit,,1000.00,1520.88
2024-05-15,Hotel Booking,189.99,,1330.89
2024-05-15,Gas Station,42.50,,1288.39
2024-05-16,Amazon Prime,119.00,,1169.39
2024-05-16,Starbucks Coffee,6.25,,1163.14
2024-05-17,Salary Bonus,,500.00,1663.14
2024-05-17,Grocery Store,78.90,,1584.24
2024-05-18,Movie Theater,24.50,,1559.74
2024-05-18,Car Insurance,180.00,,1379.74
2024-05-19,Restaurant Dinner,45.75,,1334.99
2024-05-19,Online Shopping,67.89,,1267.10
2024-05-20,Pharmacy Refill,15.99,,1251.11
2024-05-20,Gym Equipment,89.99,,1161.12 
